Date,Open,High,Low,Close,Adj Close,Volume
2022-11-02,32.245979,32.834824,30.294113,30.788076,30.788076,1166999748
2022-11-03,30.792919,32.143494,30.677149,30.843880,30.843880,832207929
2022-11-04,30.841738,34.104263,30.731590,33.780853,33.780853,1364403572
2022-11-05,33.777416,38.549622,33.735134,36.765762,36.765762,2470595904
2022-11-06,36.772167,36.902027,32.546303,32.683582,32.683582,1650006613
2022-11-07,32.678947,33.067505,28.926735,29.601345,29.601345,2545092967
2022-11-08,29.597441,31.060968,21.783983,24.152937,24.152937,6120104231
2022-11-09,24.159435,24.159435,12.505624,13.940857,13.940857,4647808136
2022-11-10,13.985069,18.675638,13.411027,17.681408,17.681408,4084381465
2022-11-11,17.663450,18.136482,15.507472,16.326746,16.326746,2191908978
2022-11-12,16.340282,16.408434,14.538013,14.539001,14.539001,866923655
2022-11-13,14.537562,14.660888,13.122664,13.164529,13.164529,880792311
2022-11-14,13.165713,14.889988,12.254618,14.001356,14.001356,1365413449
2022-11-15,13.999627,14.969863,13.932036,14.301294,14.301294,833458645
2022-11-16,14.299587,14.562107,13.711964,14.285508,14.285508,487495993
2022-11-17,14.286023,14.463690,13.078255,13.638735,13.638735,673219780
2022-11-18,13.638845,13.790632,13.039168,13.247497,13.247497,357193046
2022-11-19,13.247390,13.255353,12.644581,12.851014,12.851014,314294255
2022-11-20,12.852312,13.416734,12.203308,12.252833,12.252833,508411732
2022-11-21,12.254122,12.257598,11.341638,11.846209,11.846209,504498729
2022-11-22,11.842515,12.465628,11.010652,12.435625,12.435625,529418278
2022-11-23,12.437920,14.402455,12.427633,14.351512,14.351512,859905329
2022-11-24,14.353003,14.854010,13.916857,14.582351,14.582351,620159372
2022-11-25,14.580628,14.581173,13.961507,14.063138,14.063138,323667943
2022-11-26,14.062800,14.887809,14.031248,14.159194,14.159194,333271818
2022-11-27,14.159537,14.409466,14.082966,14.115767,14.115767,225035409
2022-11-28,14.113132,14.145077,12.824841,13.404518,13.404518,447463511
2022-11-29,13.403423,13.897473,13.280128,13.369734,13.369734,265372933
2022-11-30,13.371024,14.219450,13.308285,14.115445,14.115445,331594403
2022-12-01,14.133452,14.154324,13.441185,13.480968,13.480968,232200065
2022-12-02,13.482586,13.773052,13.377079,13.715640,13.715640,245049936
2022-12-03,13.716783,13.730709,13.278402,13.302458,13.302458,161314094
2022-12-04,13.301778,13.724018,13.299368,13.718219,13.718219,141802483
2022-12-05,13.716101,14.135320,13.630226,13.831113,13.831113,335440747
2022-12-06,13.830925,14.322913,13.828653,14.288855,14.288855,279979830
2022-12-07,14.292367,14.310630,13.497425,13.519653,13.519653,223134812
2022-12-08,13.519829,13.753017,13.310491,13.689222,13.689222,195918913
2022-12-09,13.689074,13.979892,13.536896,13.580188,13.580188,211833041
2022-12-10,13.581316,13.695787,13.568408,13.576996,13.576996,109293691
2022-12-11,13.576214,13.778305,13.413360,13.427810,13.427810,117436002
2022-12-12,13.426751,13.458085,12.951157,13.318544,13.318544,205298705
2022-12-13,13.318247,14.057650,12.828972,13.833986,13.833986,315949878
2022-12-14,13.836178,14.887667,13.831062,14.140526,14.140526,441479811
2022-12-15,14.140318,14.467164,13.909064,14.021511,14.021511,272679087
2022-12-16,14.021939,14.145012,12.147680,12.266606,12.266606,358747840
2022-12-17,12.265799,12.511941,11.987808,12.504404,12.504404,222801055
2022-12-18,12.504684,12.568932,12.312158,12.413120,12.413120,110722042
2022-12-19,12.415850,12.566923,11.737710,11.932655,11.932655,206060595
2022-12-20,11.934521,12.436450,11.875389,12.280515,12.280515,177388342
2022-12-21,12.279061,12.279061,11.929597,12.128985,12.128985,167974882
2022-12-22,12.129865,12.168594,11.720109,11.794829,11.794829,181200151
2022-12-23,11.794523,12.084676,11.755585,11.786166,11.786166,157181374
2022-12-24,11.786255,11.786255,11.239624,11.444276,11.444276,202780776
2022-12-25,11.444534,11.534026,11.274830,11.387903,11.387903,105389060
2022-12-26,11.387690,11.453410,11.138464,11.306611,11.306611,132410401
2022-12-27,11.309179,11.390708,10.766210,11.085430,11.085430,223332961
2022-12-28,11.084863,11.098109,9.522949,9.755906,9.755906,468728777
2022-12-29,9.755775,9.827129,8.141268,9.651783,9.651783,772500177
2022-12-30,9.651915,10.021772,9.062715,9.880177,9.880177,837030648
2022-12-31,9.881005,10.151167,9.692624,9.961039,9.961039,285758573
2023-01-01,9.961036,10.052801,9.721011,9.982173,9.982173,194221164
2023-01-02,9.983222,11.372013,9.845211,11.272967,11.272967,558570124
2023-01-03,11.274727,13.500268,11.053267,13.344046,13.344046,1149255381
2023-01-04,13.351509,14.095340,12.922946,13.435113,13.435113,1142852070
2023-01-05,13.434939,13.769200,12.990192,13.419330,13.419330,564255825
2023-01-06,13.420552,13.541294,12.771324,13.525842,13.525842,517147909
2023-01-07,13.526757,13.526757,13.055073,13.092268,13.092268,210349250
2023-01-08,13.091505,14.333257,12.924286,14.319933,14.319933,535020165
2023-01-09,14.325533,17.361557,14.325533,16.302464,16.302464,2029272608
2023-01-10,16.296198,16.640087,15.711213,16.196724,16.196724,833408341
2023-01-11,16.196577,16.446589,15.368487,16.359415,16.359415,630606082
2023-01-12,16.789261,16.808434,15.744722,16.619043,16.619043,884719784
2023-01-13,16.618727,18.514465,16.381359,18.288445,18.288445,1037251176
2023-01-14,18.287506,24.565018,18.266825,24.249458,24.249458,3399684035
2023-01-15,24.259123,24.651987,22.116848,22.873306,22.873306,1661787281
2023-01-16,22.875086,24.752789,22.585596,23.577564,23.577564,1596086615
2023-01-17,23.580601,23.802801,22.882893,22.884064,22.884064,926501252
2023-01-18,22.886484,23.482634,20.693499,20.850634,20.850634,1427677518
2023-01-19,20.850828,21.765444,20.528950,21.426765,21.426765,799641392
2023-01-20,21.426407,25.678333,21.004543,25.548271,25.548271,1419157455
2023-01-21,25.551525,26.410500,24.614994,24.627838,24.627838,1948796870
2023-01-22,24.624043,25.389250,23.756323,24.232790,24.232790,1029738787
2023-01-23,24.231546,24.885983,23.973736,24.357807,24.357807,874649827
2023-01-24,24.352102,25.167665,22.647783,22.795673,22.795673,837211317
2023-01-25,22.796204,25.216593,22.397007,24.571445,24.571445,1166026842
2023-01-26,24.561398,25.120348,23.953539,24.350697,24.350697,809826004
2023-01-27,24.350981,24.861765,23.498766,24.407858,24.407858,682926581
2023-01-28,24.410603,25.017385,23.841827,23.981802,23.981802,489857934
2023-01-29,23.980787,26.652805,23.827845,26.132387,26.132387,1131621628
2023-01-30,26.135302,26.249315,23.489176,23.946321,23.946321,1084170329
2023-01-31,23.949322,24.341288,23.592249,23.952547,23.952547,617019880
2023-02-01,23.948515,25.126236,22.643122,24.993359,24.993359,984317489
2023-02-02,24.988787,26.037151,24.254307,24.265059,24.265059,1017290364
2023-02-03,24.260811,25.003572,24.118975,24.680897,24.680897,643813200
2023-02-04,24.679983,24.892578,24.317745,24.317745,24.317745,321758043
2023-02-05,24.319521,24.425667,23.116827,23.493439,23.493439,578466008
2023-02-06,23.493685,23.687357,22.603905,22.706388,22.706388,449884793
2023-02-07,22.697823,23.899799,22.607054,23.861357,23.861357,625438600
2023-02-08,23.860729,24.148073,22.881855,23.192671,23.192671,534148944
2023-02-09,23.198092,23.279087,20.203577,20.452127,20.452127,797436250
2023-02-10,20.453590,21.117727,19.843344,20.130110,20.130110,654189930
2023-02-11,20.128391,20.860680,20.119469,20.830095,20.830095,267159267
2023-02-12,20.828875,22.260618,20.646626,21.489979,21.489979,532943787
2023-02-13,21.486788,21.529655,19.870745,20.790100,20.790100,693292656
2023-02-14,20.781595,22.245665,20.711224,21.824953,21.824953,865868623
2023-02-15,21.824722,23.901154,21.502102,23.883902,23.883902,747616299
2023-02-16,23.884190,24.030554,22.264261,22.285952,22.285952,885086333
2023-02-17,22.282129,23.493309,22.153913,23.166758,23.166758,580803415
2023-02-18,23.167397,23.757635,22.967705,23.478592,23.478592,370892073
2023-02-19,23.476208,25.520731,23.268293,24.840752,24.840752,993875671
2023-02-20,24.846375,26.925581,24.342072,26.181387,26.181387,1459545676
2023-02-21,26.182732,26.424297,24.673828,24.948559,24.948559,925847245
2023-02-22,24.949751,25.135201,23.377934,24.181349,24.181349,892548647
2023-02-23,24.182421,24.635834,23.683668,23.900801,23.900801,579213279
2023-02-24,23.899637,24.056330,22.636557,23.053036,23.053036,612377428
2023-02-25,23.058849,23.273439,21.641863,22.523399,22.523399,547286025
2023-02-26,22.523857,23.484447,22.324240,23.256088,23.256088,370371591
2023-02-27,23.255739,23.367462,22.400766,22.692589,22.692589,475987023
2023-02-28,22.690985,22.725033,21.825813,21.916388,21.916388,351065863
2023-03-01,21.912136,22.795338,21.738678,22.506432,22.506432,346532018
2023-03-02,22.505314,22.575216,21.732510,21.984879,21.984879,322545445
2023-03-03,21.986517,22.001711,20.541079,21.399353,21.399353,489228523
2023-03-04,21.400026,21.536839,20.374146,20.966839,20.966839,249364880
2023-03-05,20.966393,21.616997,20.895563,20.978584,20.978584,278729462
2023-03-06,20.978413,21.098866,20.522215,20.635012,20.635012,318022843
2023-03-07,20.634691,20.886848,19.820597,20.244732,20.244732,394901279
2023-03-08,20.243931,20.332367,18.286304,18.421194,18.421194,620543521
2023-03-09,18.424707,18.689047,16.943132,17.308147,17.308147,754162560
2023-03-10,17.312250,18.323397,16.117346,18.243643,18.243643,944032048
2023-03-11,18.243105,18.848188,17.171354,18.225843,18.225843,696894876
2023-03-12,18.224798,20.392891,17.942476,20.310532,20.310532,666940879
2023-03-13,20.310793,21.340412,18.964472,20.433712,20.433712,1161164364
2023-03-14,20.434708,22.106672,19.914528,20.928034,20.928034,1130224251
2023-03-15,20.935295,21.488909,18.830359,19.290981,19.290981,816614774
2023-03-16,19.299496,19.883511,19.036310,19.730543,19.730543,438673097
2023-03-17,19.730066,21.676241,19.499819,21.629103,21.629103,623518286
2023-03-18,21.632441,22.861988,21.141870,21.195902,21.195902,789771840
2023-03-19,21.198290,22.453812,21.198290,21.903402,21.903402,475166077
2023-03-20,21.904612,23.831194,21.585560,22.176464,22.176464,1147250538
2023-03-21,22.177589,23.223715,21.639103,22.618267,22.618267,745081556
2023-03-22,22.614277,23.067322,21.149651,21.480486,21.480486,851680842
2023-03-23,21.475513,22.700598,21.216276,22.216778,22.216778,555730954
2023-03-24,22.214151,22.258434,20.355827,20.678856,20.678856,547225198
